loc_index,to_0,to_1,to_2,to_3,to_4,to_5,to_6,to_7,to_8,to_9,to_10,to_11
from_0,0.0,7896.25,10021.83,11362.16,10425.26,11638.8,11515.29,8179.72,14088.6,10662.08,14762.14,8142.46
from_1,7921.78,0.0,5400.85,4247.12,4856.82,7653.35,6912.77,7170.1,11793.58,6059.55,4571.53,513.82
from_2,9915.87,5400.67,0.0,1224.23,677.71,2774.52,2997.06,8593.83,8229.35,3955.81,8788.68,5053.34
from_3,11535.02,4253.7,1231.0,0.0,896.09,3483.49,3953.77,9550.54,8955.23,4912.51,7641.72,3906.38
from_4,10568.25,4872.48,677.71,783.68,0.0,3177.95,3400.48,8997.26,8632.77,4359.23,8260.5,4525.16
from_5,11279.88,6664.45,2358.38,3308.33,2761.81,0.0,1230.88,9265.94,6237.68,2667.2,10872.78,7137.44
from_6,12035.65,7046.42,3007.33,3957.27,3410.75,1823.91,0.0,7943.35,6809.81,815.53,11521.72,7786.38
from_7,6426.28,7320.02,8600.62,9550.56,9004.04,9870.63,7951.4,0.0,8281.45,7098.19,11623.93,7566.22
from_8,12403.52,12023.77,7336.54,8286.48,7739.96,4978.24,5770.48,8311.22,0.0,6159.14,15850.93,12269.98
from_9,11182.44,6193.2,3984.72,4934.67,4388.15,2212.57,815.53,7090.14,9291.87,0.0,10497.12,6439.41
from_10,14885.25,4994.09,8472.43,7318.7,7928.4,10724.93,11195.2,12084.28,16196.66,10298.92,0.0,4646.76
from_11,8230.8,388.92,5168.4,4014.67,4624.37,7420.9,7891.17,7479.11,12102.6,6368.57,4339.08,0.0
